text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @avoiceforchoice: Another Claim: #Tamiflu Caused Child To Twitch, Hallucinate, Bang Head in pain. #BigPharma #Pharmaceutical #Drugs #Flu…",FALSE,0,,2/6/2018 4:21,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Graftedin2truth,6,TRUE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:20,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elisabelaslate,214,TRUE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:20,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",abkaraali,214,TRUE,FALSE,,
RT @NFIDvaccines: RT to share via @SeattleMamaDoc Is It The #Flu Or A Cold? https://t.co/7rk5rLdqbz #GetVaccinated to help #FightFlu! https…,FALSE,0,,2/6/2018 4:19,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jyeh29,2,TRUE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:18,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FoxyKealoha,214,TRUE,FALSE,,
#letmeroll #FLU <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7> #KEV #Va #previews produced by  #skyscrapazmusicgroup #SMOKERSONLY #NEWMUSIC… https://t.co/gungP5le2q,FALSE,0,,2/6/2018 4:18,FALSE,,9.61E+17,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Mr_434,0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:17,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JulieHu89,214,TRUE,FALSE,,
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 4:16,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TynnaDemellier,26,TRUE,FALSE,,
RT @CDCDirector: One of the biggest health threats we are facing right now is #flu. Flu is complex and difficult to predict.This season is…,FALSE,0,,2/6/2018 4:16,FALSE,,9.61E+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",karidproudmom,549,TRUE,FALSE,,
"Con una de estas el frío <ed><U+00A0><U+00BC><ed><U+00BC><U+00AC> me hace los mandados!
#lqba #frio #cold #flu #ice #frezze #ceromiedo #z #pijama... https://t.co/hyVGFdnHnO",FALSE,0,,2/6/2018 4:14,FALSE,,9.61E+17,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",LaQueBuenaAtl,0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:14,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Frannnyfranfran,214,TRUE,FALSE,,
"RT @NIAGo4Life: Understanding the difference between the cold and the #flu will help you know when to call the doctor, who might want to gi…",FALSE,0,,2/6/2018 4:12,FALSE,,9.61E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",movedoc,2,TRUE,FALSE,,
