"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @keprtv: Report: Twelve people dead from #flu in #TriCities area &gt;&gt; https://t.co/RTk674J0Bk https://t.co/jqVacoFV8b",FALSE,0,,2018-02-07 16:37:45,FALSE,,"961277816934469632",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BFHD",0,FALSE,FALSE,,
"Hong Kong school children will be getting an early start to their #LunarNewYear holiday as the city ordered the clo… https://t.co/G85o5pul7E",FALSE,0,,2018-02-07 16:37:38,TRUE,,"961277785443516418",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicrobesInfect",1,FALSE,FALSE,,
"OMG! WHAT ARE WE GOING TO DO!  Over 1000 deaths, possibly FLU related,  this season already! Of course the #CDC say… https://t.co/QYFbIvYyKx",FALSE,0,,2018-02-07 16:37:17,TRUE,,"961277696981450752",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheDanielMarch",0,FALSE,FALSE,,
"App of the Week: Track #flu symptoms and more within your community, school, or business with our Health Survey app… https://t.co/G2sjlBLads",FALSE,0,,2018-02-07 16:37:05,TRUE,,"961277645471219718",,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","fulcrumapp",0,FALSE,FALSE,,
"RT @CDCFlu: Most people with #flu have mild illness and don’t need medical care. However, stay alert for emergency warning signs of flu sic…",FALSE,0,,2018-02-07 16:36:42,FALSE,,"961277552621887488",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arunviro",67,TRUE,FALSE,,
"#CullmanCounty #Alabama #Flu https://t.co/4nZ63Mk2mN",FALSE,0,,2018-02-07 16:35:47,FALSE,,"961277319255154688",,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cullmancountyal",0,FALSE,FALSE,,
"RT @CDCemergency: 6 things to know about this #flu season: https://t.co/xlghizlkjy https://t.co/v9LsROzMLZ",FALSE,0,,2018-02-07 16:35:28,FALSE,,"961277241979232257",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DPHSAquaticCtr",71,TRUE,FALSE,,
"RT @CDCemergency: 6 things to know about this #flu season: https://t.co/xlghizlkjy https://t.co/v9LsROzMLZ",FALSE,0,,2018-02-07 16:35:14,FALSE,,"961277183028289537",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","calebhentges",71,TRUE,FALSE,,
"#HealthTipOfTheDay. Is your #immunesystem weak? Socializing actually helps make it stronger! Learn more in the foll… https://t.co/5eS46QvmEf",FALSE,0,,2018-02-07 16:34:26,TRUE,,"961276981076725760",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrJulissa",0,FALSE,FALSE,,
"Why the Vaccinated Still Caught the #Flu This Winter in the Northern Hemisphere

https://t.co/pAfVDazpCc… https://t.co/Z434uSMT2m",FALSE,1,,2018-02-07 16:33:56,TRUE,,"961276854949695488",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicrobesInfect",0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2018-02-07 16:33:34,FALSE,,"961276761001594880",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ariana_duque",761,TRUE,FALSE,,
"RT @Crof: Hong Kong schools to shut early due to #flu outbreak https://t.co/MEHPlo3vQk",FALSE,0,,2018-02-07 16:33:11,FALSE,,"961276665312681986",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rrh_journal",2,TRUE,FALSE,,
"Hong Kong shuts #schools in response to #flu outbreak https://t.co/pnJ9btsxPQ",FALSE,0,,2018-02-07 16:33:05,FALSE,,"961276641774309376",,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NMhealth",0,FALSE,FALSE,,
"RT @silverbract: #Trump adviser #GloriaCopeland urges followers to 'inoculate yourself with the word of God' against #flu <ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> https://t.co…",FALSE,0,,2018-02-07 16:32:51,FALSE,,"961276583330897920",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","silverbract",6,TRUE,FALSE,,
"Terra #Flu - Especial/Jogos de Pyeongchang apostam em segurança discreta https://t.co/4JZqNmQECu",FALSE,0,,2018-02-07 16:32:48,FALSE,,"961276570127147008",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Hong Kong renova condenações de líderes da 'Revolução dos Guarda-Chuvas' https://t.co/sZUszombCL",FALSE,0,,2018-02-07 16:32:48,FALSE,,"961276568914898945",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Ídolo do Inter, Clemer diz que partida contra o Grêmio ""vai ser uma guerra"" https://t.co/nhinpcEm3x",FALSE,0,,2018-02-07 16:32:48,FALSE,,"961276567698620416",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Cristiano Ronaldo admite declínio físico: ""Aos 20 anos fazia coisas que já não… https://t.co/YOLvpqwzt7",FALSE,0,,2018-02-07 16:32:41,FALSE,,"961276541756829696",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Flamengo descarta jogar pelo empate diante do Botafogo https://t.co/GgZBSoGOh8",FALSE,0,,2018-02-07 16:32:41,FALSE,,"961276540490149888",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"The #flu has been extremely bad this season. Make sure you're prepared &amp; wash your hands! <ed><U+00A0><U+00BE><ed><U+00B4><U+00A7> https://t.co/pwgZTmjRQT",FALSE,0,,2018-02-07 16:32:25,FALSE,,"961276475143008256",,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","EarthNetworks",0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2018-02-07 16:32:06,FALSE,,"961276394629222401",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shagra85",761,TRUE,FALSE,,
"RT @CDCFlu: Most people with #flu have mild illness and don’t need medical care. However, stay alert for emergency warning signs of flu sic…",FALSE,0,,2018-02-07 16:30:57,FALSE,,"961276103498321926",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tatancbu",67,TRUE,FALSE,,
"Sorry, but if someone tries to tells you that the strain of #flu circulating this yr is not in the #vaccine, ask th… https://t.co/DeU7qLzJN6",FALSE,0,,2018-02-07 16:30:53,TRUE,,"961276086792400896",,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",0,FALSE,FALSE,,
"Humans, a work in progress: #Flu season is all in our heads, #Texas #televangelist Gloria #Copeland, an advisor to… https://t.co/Aruf56bTuD",FALSE,0,,2018-02-07 16:30:41,TRUE,,"961276037698113541",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PunkinSeeds",0,FALSE,FALSE,,
"RT @IcahnMountSinai: As the #flu death toll continues to rise, scientists who study the disease are struggling to find funds. Dr. Peter Pal…",FALSE,0,,2018-02-07 16:30:34,FALSE,,"961276006161108992",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mountsinaipeds",2,TRUE,FALSE,,
"Don't forget your pharmacist. If you are on regular meds and have a #flu or cold check before using OTC meds or her… https://t.co/GPxpnRWStK",FALSE,0,,2018-02-07 16:30:26,TRUE,,"961275973609115648",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nappingnightowl",0,FALSE,FALSE,,
"Harvard SPH/ The Forum Webcast , 2-13:  The #Flu Outbreak: What You Need to Know https://t.co/rAoWSL1Q8x https://t.co/DFwZRvEI3x",FALSE,0,,2018-02-07 16:29:57,FALSE,,"961275853501059072",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greg_folkers",0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2018-02-07 16:29:36,FALSE,,"961275763252228096",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tatancbu",761,TRUE,FALSE,,
