text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Does everyone have the Flu?? PLEASE tell me thats what's Killing my portfolio #fluseason #cryptocurrency  #bitcoin https://t.co/DTK5wjUSFk,FALSE,0,,2/6/2018 4:28,FALSE,,9.60732E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RobertDHolmes46,0,FALSE,FALSE,,
This is how I’ve felt the last few days. I hate when my kids are sick! #Ilovemykids #fluseason https://t.co/vhG7wv1A2o,FALSE,0,,2/6/2018 4:24,FALSE,,9.60731E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ericaprate,0,FALSE,FALSE,,
"@SenMarkey Thank you. I'm up tonight with a sick little one who keeps waking up crying that he can't breathe, he's… https://t.co/pT8sTA2QeM",FALSE,0,SenMarkey,2/6/2018 3:59,TRUE,9.60628E+17,9.60725E+17,21406834,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LeahBloom,0,FALSE,FALSE,,
Clorox wipes are my best friend this #fluseason <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F>,FALSE,0,,2/6/2018 3:56,FALSE,,9.60724E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",eiggamgio,0,FALSE,FALSE,,
@JovitaMoore You had me at no more flu! Will be watching @wsbtv at 11! #fluseason,FALSE,0,JovitaMoore,2/6/2018 3:54,FALSE,,9.60723E+17,21656599,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vikki_locke,0,FALSE,FALSE,,
"Send paracetamol, tissues, hot water bottle, fruit....the dreaded cold has finally caught up with me whilst working… https://t.co/93pgHHxqR7",FALSE,0,,2/6/2018 3:48,TRUE,,9.60722E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",svdawkins,0,FALSE,FALSE,,
#Families should take the time to watch the #Planning to Make a #Plan is Not a Plan video at… https://t.co/FcAxKHo5oZ,FALSE,0,,2/6/2018 3:45,TRUE,,9.60721E+17,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",ChrisDisaster,1,FALSE,FALSE,,
"@Bubbles8301 That's good to hear. I'm glad Jacob's feeling better. But yeah, this #FluSeason's absolutely crazy. Yo… https://t.co/km1U5mUvl5",FALSE,0,Bubbles8301,2/6/2018 3:38,TRUE,9.60704E+17,9.60719E+17,7.71223E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChampionMyzter,0,FALSE,FALSE,,
Thanks @TheJackCain for all the RTs and likes.....you're awesome for helping us to spread good health!<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>… https://t.co/1sQeuhYaaL,FALSE,0,,2/6/2018 3:32,TRUE,,9.60718E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",coldQ1,0,FALSE,FALSE,,
Trynna dodge the flu like #fluseason #memes #vegeta #dbz #getready #smh https://t.co/e57bkw3IRz,FALSE,0,,2/6/2018 3:17,FALSE,,9.60714E+17,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",theodros15,0,FALSE,FALSE,,
"What Are Flu Complications?

https://t.co/uJsnQT4szQ

#Flu2018 #flu #fluseason #flushot",FALSE,0,,2/6/2018 3:16,FALSE,,9.60714E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1st_infantry,0,FALSE,FALSE,,
Trynna dodge the flu like #fluseason #smh #getready #vegeta #dbz,FALSE,0,,2/6/2018 3:14,FALSE,,9.60713E+17,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",theodros15,0,FALSE,FALSE,,
"RT @accpchest: 42 states say they’re seeing high levels of #flu activity, @CDCgov says. #fluseason https://t.co/CCHGZ1G548",FALSE,0,,2/6/2018 3:10,FALSE,,9.60712E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dr_AlMusawi,2,TRUE,FALSE,,
Sad to hear one of the extras passed away from the flu over the weekend. Her husband is now in ICU with the flu.… https://t.co/8ApeePQPzU,FALSE,0,,2/6/2018 3:04,TRUE,,9.60711E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lisahazell,0,FALSE,FALSE,,
More and more people wearing masks to avoid the flu epidemic! Is it wrong that I would prefer to get the flu than t… https://t.co/NrhCz9YFHe,FALSE,0,,2/6/2018 3:03,TRUE,,9.6071E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",edawg,0,FALSE,FALSE,,
"Yeah, #WashYourStinkinHands - it’s #fluseason ... Stay well! #WhatSheSaid ... <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/bVVXmGkmnV",FALSE,0,,2/6/2018 3:01,FALSE,,9.6071E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CLTea150,0,FALSE,FALSE,,
RT @AndreaPerez0217: <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> trying to avoid this flu that's going around #momlife #Parenting #fluseason https://t.co/0YZNI4ZHQK,FALSE,0,,2/6/2018 3:00,FALSE,,9.6071E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",allmelinda,8,TRUE,FALSE,,
Me taking a handful of vitamin C after sneezing twice #GrooverPR #fluseason https://t.co/ToffVUeple,FALSE,1,,2/6/2018 2:58,FALSE,,9.60709E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hk_gsu,0,FALSE,FALSE,,
Keep your fine jewelry germ free by sanitizing w/the AquaSonic Wave https://t.co/37dgWWOzFt #bacteria #jewelry… https://t.co/FGmkU2YNal,FALSE,4,,2/6/2018 2:54,TRUE,,9.60708E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AquaSonicWave,4,FALSE,FALSE,,
RT @northhoops: @TyresesPieces is dominating this second half. Simply cannot he stopped. #fluseason,FALSE,0,,2/6/2018 2:47,FALSE,,9.60706E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",skcreno27,2,TRUE,FALSE,,
@OPSMortonMagnet and all @OmahaPubSchool great information. Do your part to keep kids healthy!… https://t.co/lvdAdBa8MX,FALSE,0,OPSMortonMagnet,2/6/2018 2:47,TRUE,,9.60706E+17,979412035,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SchoolNurseT,0,FALSE,FALSE,,
too late for this bullshit #fluseason https://t.co/HeEbxGzPpD,FALSE,0,,2/6/2018 2:42,FALSE,,9.60705E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ginanicolexox,0,FALSE,FALSE,,
RT @northhoops: @TyresesPieces is dominating this second half. Simply cannot he stopped. #fluseason,FALSE,0,,2/6/2018 2:38,FALSE,,9.60704E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",larryleepagel,2,TRUE,FALSE,,
Trade Handshakes and High-Fives For Elbow Bumps This Flu Season https://t.co/nURdZirENI? via @lifehacker #Flu2018… https://t.co/B2OQNDmUyJ,FALSE,0,,2/6/2018 2:36,TRUE,,9.60704E+17,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",ZackeyAhmed,0,FALSE,FALSE,,
@TyresesPieces is dominating this second half. Simply cannot he stopped. #fluseason,FALSE,3,TyresesPieces,2/6/2018 2:33,FALSE,,9.60703E+17,1060828231,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",northhoops,2,FALSE,FALSE,,
That gonna hurt coming from a federal agency. #Flu2018 #fluseason https://t.co/6u7PzkEpiJ,FALSE,0,,2/6/2018 2:21,FALSE,,9.607E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AMartinezRivera,0,FALSE,FALSE,,
Parents flu is deadlier than you can imagine. Get your kids #vaccinated. Don't be the parent heartbroken going to y… https://t.co/XnnjQu2Ak2,FALSE,0,,2/6/2018 2:17,TRUE,,9.60699E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YallHearThis,0,FALSE,FALSE,,
"You know it’s bad when CVS has hung up on City MD twice in a row, just tryna call some prescriptions in.. #fluseason",FALSE,0,,2/6/2018 2:15,FALSE,,9.60698E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AgnesCarlowicz,0,FALSE,FALSE,,
RT @bdominguez7: I would not kiss that trophy. #FluSeason #SuperBowl,FALSE,0,,2/6/2018 2:13,FALSE,,9.60698E+17,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JJDom3,1,TRUE,FALSE,,
"My poor baby is sick.
#fluseason #jaydenmylove #littlebro #mommymae #nursemom #pinoymom https://t.co/aFpEYmKnX8",FALSE,0,,2/6/2018 2:11,FALSE,,9.60698E+17,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",maelonghair30,0,FALSE,FALSE,,
