text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 4:16,FALSE,,9.60729E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TynnaDemellier,26,TRUE,FALSE,,
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 4:12,FALSE,,9.60728E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",snw106,26,TRUE,FALSE,,
"INTELLIGENT RESPONSIBLE LAW PROFESSOR

LECTURING THE UNITED NATIONS CRIMINALLY INSANE 
ON HOW #VACCINE LAWS BREACH… https://t.co/FfdZhThqST",FALSE,1,,2/6/2018 4:12,TRUE,,9.60728E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9_11_IsAnInside,0,FALSE,FALSE,,
"#Vaccine Never do I take the #FLU Shot. Rarely, very rarely, do I get sick or have the flu. The #VOMIT days ago was… https://t.co/zgQAhB4c56",FALSE,0,,2/6/2018 4:09,TRUE,,9.60727E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FetishSix,0,FALSE,FALSE,,
"@JordanBumgarner @FarmgalMom Usually the most arrogant people are the ones who think they know what is  ""best"" for… https://t.co/qvBNjBKi7f",FALSE,2,JordanBumgarner,2/6/2018 4:05,TRUE,9.60667E+17,9.60726E+17,849467270,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jmb063,2,FALSE,FALSE,,
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 3:54,FALSE,,9.60723E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kalasaurus,26,TRUE,FALSE,,
"RT @joelving: Study by @CochraneNordic says @US_FDA &amp; @EMA_News ""based their #HPV #vaccine approvals on only half of the available trials""…",FALSE,0,,2/6/2018 3:52,FALSE,,9.60723E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ThisMomHCN,23,TRUE,FALSE,,
"RT @EU_Health: Nearly 19k #measles cases in #EU/#EEA in 2016-17, 44 deaths. 
2 doses of #vaccine needed to ensure full protection. 
https:/…",FALSE,0,,2/6/2018 3:49,FALSE,,9.60722E+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",utan303,27,TRUE,FALSE,,
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 3:47,FALSE,,9.60722E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JPatchety,26,TRUE,FALSE,,
"RT @Tennesseine: Dear #AntiVaxers:

Even in a #flu season in which the #vaccine is less effective, it’s still true that most children dying…",FALSE,0,,2/6/2018 3:47,FALSE,,9.60722E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tennesseine,26,TRUE,FALSE,,
RT @HealthRanger: CDCs surveillance system to track down vaccination status to achieve total #vaccine #compliance https://t.co/2FNSNiqvnG #…,FALSE,0,,2/6/2018 3:36,FALSE,,9.60719E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",weareontoyou,25,TRUE,FALSE,,
